Filename,QuadValue,CorrectResponse
BAWA_1-3_AA-AB.wav,1,2
BAWA_1-3_AB-AA.wav,1,1
BAWA_1-3_BA-BB.wav,1,1
BAWA_1-3_BB-BA.wav,1,2
BAWA_2-4_AA-AB.wav,2,2
BAWA_2-4_AB-AA.wav,2,1
BAWA_2-4_BA-BB.wav,2,1
BAWA_2-4_BB-BA.wav,2,2
BAWA_3-5_AA-AB.wav,3,2
BAWA_3-5_AB-AA.wav,3,1
BAWA_3-5_BA-BB.wav,3,1
BAWA_3-5_BB-BA.wav,3,2
BAWA_4-6_AA-AB.wav,4,2
BAWA_4-6_AB-AA.wav,4,1
BAWA_4-6_BA-BB.wav,4,1
BAWA_4-6_BB-BA.wav,4,2
BAWA_5-7_AA-AB.wav,5,2
BAWA_5-7_AB-AA.wav,5,1
BAWA_5-7_BA-BB.wav,5,1
BAWA_5-7_BB-BA.wav,5,2
BAWA_6-8_AA-AB.wav,6,2
BAWA_6-8_AB-AA.wav,6,1
BAWA_6-8_BA-BB.wav,6,1
BAWA_6-8_BB-BA.wav,6,2
BAWA_7-9_AA-AB.wav,7,2
BAWA_7-9_AB-AA.wav,7,1
BAWA_7-9_BA-BB.wav,7,1
BAWA_7-9_BB-BA.wav,7,2
