Trial Number,Level,Correct Response,User Response,Reaction Time,Filename,correctresponse,correctness,numcorrect,expectedcorrect,reversals,wald,change,pdir2,pstep,level,numtrials,double,same
1,40,2,2,3.0709191081114113,Experiment_level40_AAAB.wav,2,True,1,0.69,0,0.5,0,-1,99.0,40,1,False,0
2,40,1,1,4.002716877032071,Experiment_level40_ABAA.wav,1,True,2,1.38,1,0.5,1,-1,49.5,40,1,False,1
3,40,2,2,3.8748178351670504,Experiment_level40_AAAB.wav,2,True,0,0,2,0.5,1,-1,24.75,15.25,0,False,2
4,15,1,1,3.4552018009126186,Experiment_level15_ABAA.wav,1,True,1,0.69,2,1.0,0,-1,24.75,15,1,False,2
5,15,1,1,2.4879239317961037,Experiment_level15_ABAA.wav,1,True,2,1.38,2,1.0,0,-1,24.75,15,2,False,2
6,15,2,2,4.438128220383078,Experiment_level15_AAAB.wav,2,True,3,2.07,2,1.0,0,-1,24.75,15,3,False,2
7,15,1,2,3.8200785452499986,Experiment_level15_ABAA.wav,1,False,3,2.76,2,1.0,0,-1,24.75,15,4,False,2
8,15,2,no response,6.002693762071431,Experiment_level15_AAAB.wav,2,False,3,3.4499999999999997,2,1.0,0,-1,24.75,15,5,False,2
9,15,1,1,3.4929452924989164,Experiment_level15_ABAA.wav,1,True,4,4.14,2,1.0,0,-1,24.75,15,6,False,2
10,15,2,2,4.329253921285272,Experiment_level15_AAAB.wav,2,True,5,4.83,2,1.0,0,-1,24.75,15,7,False,2
11,15,2,2,4.589039080310613,Experiment_level15_AAAB.wav,2,True,6,5.52,3,1.0,0,-1,12.375,15,8,False,2
12,15,2,1,3.4585805609822273,Experiment_level15_AAAB.wav,2,False,6,6.209999999999999,3,1.5,0,-1,12.375,15,9,False,2
13,15,2,2,4.142757661174983,Experiment_level15_AAAB.wav,2,True,7,6.899999999999999,3,1.5,0,-1,12.375,15,10,False,2
14,15,2,1,3.4918042407371104,Experiment_level15_AAAB.wav,2,False,7,7.589999999999998,3,1.5,0,-1,12.375,15,11,False,2
15,15,2,2,3.5141108823008835,Experiment_level15_AAAB.wav,2,True,8,8.279999999999998,3,1.5,0,-1,12.375,15,12,False,2
16,15,2,1,4.659391698427498,Experiment_level15_AAAB.wav,2,False,8,8.969999999999997,3,1.5,0,-1,12.375,15,13,False,2
17,15,1,2,3.980667430907488,Experiment_level15_ABAA.wav,1,False,8,9.659999999999997,3,1.5,0,1,0,15,13,False,2
18,15,2,2,3.8856057259254158,Experiment_level15_AAAB.wav,2,True,9,10.349999999999996,3,1.5,0,-1,12.375,15,14,False,2
19,15,1,2,3.780529550742358,Experiment_level15_ABAA.wav,1,False,9,11.039999999999996,3,1.5,0,1,0,15,14,False,2
20,15,2,2,3.352947068400681,Experiment_level15_AAAB.wav,2,True,10,11.729999999999995,3,1.5,0,1,0,15,14,False,2
21,15,2,2,4.051682665944099,Experiment_level15_AAAB.wav,2,True,11,12.419999999999995,3,1.5,0,-1,12.375,15,15,False,2
22,15,1,2,3.3468462945893407,Experiment_level15_ABAA.wav,1,False,11,13.109999999999994,3,1.5,0,1,0,15,15,False,2
23,15,1,escape,1.2233936856500804,Experiment_level15_ABAA.wav,1,False,11,13.799999999999994,3,1.5,0,1,0,15,15,False,2
